"timestamp","CARBON_INTENSITY","LOW_CARBON","ZERO_CARBON","RENEWABLE","DEMAND","type"
2017-01-31,339.8635753,13158.14247,13158.14247,5766.705645,37050.40995,"Historical"
2017-02-28,293.1904762,15236.2567,15236.2567,7179.164435,35068.30878,"Historical"
2017-03-31,237.6904441,14492.20861,14492.20861,7032.978466,32089.73149,"Historical"
2017-04-30,213.0291667,13445.81875,13445.81875,6441.879167,28454.92361,"Historical"
2017-05-31,210.7090054,13412.48925,13412.48925,5788.236559,27604.0289,"Historical"
2017-06-30,192.7152778,14843.89097,14843.89097,6681.854861,26416.97431,"Historical"
2017-07-31,207.9777927,13044.14805,13044.14805,5697.530283,26254.22813,"Historical"
2017-08-31,199.2513441,13585.58804,13585.58804,5693.099462,26137.7789,"Historical"
2017-09-30,219.7076389,14077.90903,14077.90903,6340.552778,27977.70903,"Historical"
2017-10-31,207.5288978,15657.31519,15657.31519,8150.999328,29186.4039,"Historical"
2017-11-30,279.1341209,16184.65393,14693.79083,7748.917999,33758.44823,"Historical"
2017-12-31,282.6612903,16102.94355,14558.29637,7827.165323,34789.64651,"Historical"
2018-01-31,225.2869624,16922.09274,15759.28495,8787.685484,35372.97513,"Historical"
2018-02-28,261.5892857,17084.71726,15699.7381,8205.535714,35927.10417,"Historical"
2018-03-31,282.8297443,16578.48318,14919.2611,7769.823688,34734.1467,"Historical"
2018-04-30,199.7972222,16281.69931,14479.50833,7368.379861,29823.57083,"Historical"
2018-05-31,186.0746469,15456.48487,13416.76597,6577.432414,26511.67922,"Historical"
2018-06-30,192.4118467,14794.62578,13122.03415,5796.663415,25999.31498,"Historical"
2018-07-31,203.1653226,13851.7043,12154.92204,5058.050403,26524.25538,"Historical"
2018-08-31,182.5195946,15490.72905,13588.51284,6108.025,26194.68446,"Historical"
2018-09-30,188.930459,17456.58762,15467.38387,8265.951321,26842.49791,"Historical"
2018-10-31,205.8950908,16584.80565,14306.27169,8554.938803,29524.32145,"Historical"
2018-11-30,232.1069444,17761.97292,15540.36875,9397.681944,32913.24583,"Historical"
2018-12-31,214.125,17163.84476,14950.8078,8370.485887,32946.84409,"Historical"
2019-01-31,248.688172,15758.86425,13857.03091,7711.942204,35438.55175,"Historical"
2019-02-28,195.7938988,17333.84077,15564.79018,9206.037946,33117.07664,"Historical"
2019-03-31,174.9751009,17731.04576,15879.1144,10195.01615,30579,"Historical"
2019-04-30,189.6798611,16230.99514,14555.51319,8241.935417,28529.79931,"Historical"
2019-05-31,186.1229839,14453.13508,12379.0457,6270.952957,26732.21573,"Historical"
2019-06-30,191.7305556,14001.72639,12032.6625,7586.607639,25643.74722,"Historical"
2019-07-31,195.4072581,13837.31855,11989.78562,6814.229167,25742.46035,"Historical"
2019-08-31,156.9475806,16394.64516,14522.2453,8740.979167,24719.80175,"Historical"
2019-09-30,156.2166667,16998.07778,15254.73819,8820.920833,26075.13194,"Historical"
2019-10-31,179.9616935,17373.94355,15775.33535,9151.907258,29764.03831,"Historical"
2019-11-30,216.5944444,16880.32778,14323.87986,7650.713889,33692.62639,"Historical"
2019-12-31,179.2432796,19574.38508,16885.14315,10320.50605,32514.78696,"Historical"
2020-01-31,184.6303763,20481.34409,18125.42406,11442.42137,32805.59409,"Historical"
2020-02-29,154.9511494,21517.64871,19484.14583,13819.96983,31909.54382,"Historical"
2020-03-31,167.4266487,18188.31157,16042.83647,11483.92598,29663.67766,"Historical"
2020-04-30,149.1145833,15834.56319,13821.16944,8566.019444,23027.58125,"Historical"
2020-05-31,136.2298387,16059.53965,13878.46841,8340.512769,21610.88508,"Historical"
2020-06-30,164.6833333,14987.76181,12802.02431,8182.438194,22674.98333,"Historical"
2020-07-31,173.9254032,15477.15524,13228.22446,8031.451613,23350.0289,"Historical"
2020-08-31,191.3877688,13587.59341,11965.79032,7736.288306,24295.80175,"Historical"
2020-09-30,185.9111111,15204.19167,13804.62222,9061.379861,25526.78611,"Historical"
2020-10-31,158.328629,17693.75403,15905.36156,9818.358871,28766.63575,"Historical"
2020-11-30,170.1923611,17679.61736,15534.13194,9637.7875,30095.51667,"Historical"
2020-12-31,178,18410.27083,15980.21035,9705.602823,32232.89651,"Historical"
2021-01-31,210.4737903,16724.43347,14511.68212,8783.773522,33777.47984,"Historical"
2021-02-28,168.6540179,19024.54688,16728.41295,11875.46726,31839.6064,"Historical"
2021-03-31,174.1998654,17151.14199,14498.05114,10022.37618,29552.40579,"Historical"
2021-04-30,195.5631944,14766.34514,12852.91667,7886.565278,27544.98958,"Historical"
2021-05-31,178.2076613,14877.10215,12640.41667,8079.386425,26418.52016,"Historical"
